enrollment_id,enrollment_state,npi,multiple_npi_flag,tin,multiple_tin_flag,ccn,associate_id,organization_name,doing_business_as_name,homepage,standard_charge_file_indirect_url,standard_charge_file_url,address_line_1,address_line_2,city,state,zip_code,practice_location_type,incorporation_date,incorporation_state,organization_type_structure,organization_other_type_text,proprietary_nonprofit,location_other_type_text,subgroup_general,subgroup_acute_care,subgroup_alcohol_drug,subgroup_childrens,subgroup_long-term,subgroup_psychiatric,subgroup_rehabilitation,subgroup_short-term,subgroup_swing-bed_approved,subgroup_psychiatric_unit,subgroup_rehabilitation_unit,subgroup_specialty_hospital,subgroup_other,subgroup_other_text
O20020812000015,TN,1467408781,0,621762535,1,440058,5193632180,SOUTHERN TENNESSEE MEDICAL CENTER LLC,SOUTHERN TENNESSEE REGIONAL HEALTH SYSTEM WINCHESTER,https://www.southerntnwinchester.com/,https://www.southerntnwinchester.com/hospital-charges-listing,https://www.southerntnwinchester.com/sites/strhswinchester/assets/uploads/MRF%20-%20STRHS_-_Winchester_Standard_Charges_06112021%20621762535.zip,185 HOSPITAL RD,"",WINCHESTER,TN,373982404,OTHER HOSPITAL PRACTICE LOCATION,1998-11-09,DE,LLC,"",P,"",1,1,0,0,0,0,1,0,0,0,0,0,0,""
O20020814000009,ME,1689653487,0,010211494,0,200024,2567379563,CENTRAL MAINE MEDICAL CENTER,"",https://www.cmhc.org/,https://www.cmhc.org/patients-visitors/billing-financial-information/price-transparency/,https://www.cmhc.org/app/uploads/2022/09/010211494_central-maine-medical-center_standardcharges.zip,300 MAIN ST,"",LEWISTON,ME,42407027,MAIN/PRIMARY HOSPITAL LOCATION,1888-01-01,ME,CORPORATION,"",N,"",1,0,0,0,0,0,0,0,0,0,0,0,0,""
O20020815000027,MA,1134281280,0,042053042,0,220062,8325955347,"ADCARE HOSPITAL OF WORCESTER, INC",ADCARE HOSPITAL OF WORCESTER,https://adcare.com/,https://adcare.com/locations/adcare-hospital/,https://admin.adcare.com/wp-content/uploads/2021/11/Adcare-Charge-Master-effective-10012021.pdf,107 LINCOLN ST,"",WORCESTER,MA,16052401,MAIN/PRIMARY HOSPITAL LOCATION,1985-10-17,MA,CORPORATION,"",P,"",1,1,0,0,0,0,0,0,0,0,0,0,0,""
O20020821000019,MA,1114984671,0,042103600,1,220012,8921915950,CAPE COD HOSPITAL INC,CAPE COD HOSPITAL,https://www.capecodhealth.org/,https://www.capecodhealth.org/patients-visitors/paying-for-care/understanding-pricing/estimate-the-cost-of-care/,https://www.capecodhealth.org/app/files/public/10895/2021-cchc-services-charges.csv|https://www.capecodhealth.org/app/files/public/10896/2021-cchc-pharmacy-charges.csv|https://www.capecodhealth.org/app/files/public/10894/2021-cchc-supply-charges.csv,27 PARK STREET,CAPE COD HOSPITAL,HYANNIS,MA,26015230,OTHER HOSPITAL PRACTICE LOCATION,1919-08-22,MA,CORPORATION,"",N,"",1,0,0,0,0,1,0,0,0,0,0,0,0,""
O20020826000004,GA,1588664007,0,,0,112011,6002723947,SELECT SPECIALTY HOSPITAL - SAVANNAH INC,SELECT SPECIALTY HOSPITAL SAVANNAH,https://www.selectspecialtyhospitals.com/,https://www.selectspecialtyhospitals.com/locations-and-tours/GA/Savannah/Savannah,https://resources.selectmedical.com/Pricing-Transparency/critical-illness-recovery/75-2999825_Select_Specialty_Hospital-Savannah_standardcharges.csv,5353 REYNOLDS ST,"",SAVANNAH,GA,314056015,MAIN/PRIMARY HOSPITAL LOCATION,2001-12-05,DE,CORPORATION,"",P,"",0,0,0,0,1,0,0,0,0,0,0,0,0,""
O20020827000002,IA,1942392600,0,420680354,1,160117,5092622944,THE FINLEY HOSPITAL,FINLEY HOSPITAL,https://www.unitypoint.org/,https://www.unitypoint.org/patients-and-visitors/billing-and-financial-information/price-transparency,https://search.hospitalpriceindex.com/hpi2/machineReadable/UnityPointHealth-FinleyHospital/7943or,350 N GRANDVIEW AVE,"",DUBUQUE,IA,520016388,OTHER HOSPITAL PRACTICE LOCATION,1941-06-26,IA,CORPORATION,"",N,"",0,1,0,0,0,0,0,0,0,0,0,0,0,""
O20020904000011,NY,1164481529,0,111871039,0,330246,6103733050,ST CHARLES HOSPITAL,"",https://www.chsli.org/,https://www.chsli.org/pricing-transparency,https://www.chsli.org/sites/default/files/2022-01/1164481529_st.-charles-hospital_standardcharges.xlsx,200 BELLE TERRE RD,"",PORT JEFFERSON,NY,117771928,MAIN/PRIMARY HOSPITAL LOCATION,1958-09-30,NY,CORPORATION,"",N,"",0,1,0,0,0,0,0,0,0,0,0,0,0,""
O20020912000021,AR,1083609150,0,431039532,1,040004,7214844034,WASHINGTON REGIONAL MEDICAL CENTER,"",https://www.wregional.com/,https://www.wregional.com/main/pricing-transparency,https://www.wregional.com/Uploads/Public/Documents/Pricing%20Transparency/Standard%20Charges.xlsx,3215 N NORTHHILLS BLVD,"",FAYETTEVILLE,AR,727034424,MAIN/PRIMARY HOSPITAL LOCATION,1988-05-18,AR,OTHER,ARKANSAS NONPROFIT CORPORATION,N,"",0,1,0,0,0,0,0,0,0,0,0,0,0,""
O20020917000026,AZ,1396745832,0,364399746,1,030107,4486561248,ARIZONA SPINE AND JOINT HOSPITAL LLC,"",https://www.azspineandjoint.com/,https://www.azspineandjoint.com/patient-pricing-information/,,4620 E BASELINE RD,"",MESA,AZ,85206,OTHER HOSPITAL PRACTICE LOCATION,2000-10-26,AZ,LLC,"",P,"",0,0,0,0,0,0,0,0,0,0,0,1,0,""
O20020920000016,OR,1770587107,0,930223960,1,380018,0547177321,ASANTE,ASANTE ROGUE REGIONAL MEDICAL CENTER,https://www.asante.org/,https://www.asante.org/patients-visitors/bill-pay/standard-charges/,https://www.asante.org/app/files/public/6b227108-94e9-45b3-8d3f-c832dd1419a0/Asante_Standard_Charges.zip,2825 E BARNETT RD,"",MEDFORD,OR,975048332,OTHER HOSPITAL PRACTICE LOCATION,1936-03-13,OR,CORPORATION,"",N,"",0,1,0,0,0,0,0,0,0,0,0,0,0,""
O20020920000019,MS,1518967280,0,,0,252005,8426965203,SELECT SPECIALTY HOSPITAL - GULF COAST INC,SELECT SPECIALTY HOSPITAL - GULF COAST,https://www.selectspecialtyhospitals.com/,https://www.selectspecialtyhospitals.com/locations-and-tours/MS/Gulfport/Gulf-Coast,https://resources.selectmedical.com/Pricing-Transparency/critical-illness-recovery/64-0859336_Select_Specialty_Hospital-Gulfcoast_standardcharges.csv,4500 13TH ST,FL 3,GULFPORT,MS,395012515,MAIN/PRIMARY HOSPITAL LOCATION,1994-09-21,MS,CORPORATION,"",P,"",0,0,0,0,1,0,0,0,0,0,0,0,0,""
O20020921000005,SC,1972503910,0,043633263,1,420098,9133036932,WACCAMAW COMMUNITY HOSPITAL,TIDELANDS WACCAMAW COMMUNTY HOSPITAL,https://www.tidelandshealth.org/,https://www.tidelandshealth.org/patients-visitors/standard-charges/,https://www.tidelandshealth.org/app/files/public/4d9401e6-79fb-472f-b0a1-a2fac45d03c2/wacamaw-2021-price-transparency-file_final_v1-0_20201230.csv,4070 HIGHWAY 17,"",MURRELLS INLET,SC,295765033,MAIN/PRIMARY HOSPITAL LOCATION,2002-03-29,SC,CORPORATION,"",N,"",1,1,0,0,0,0,0,0,0,0,0,0,0,""
O20020925000020,MN,1902845068,0,410714079,0,24T047,7113834839,ST LUKES HOSPITAL OF DULUTH,ST LUKES,https://www.slhduluth.com,,,915 E 1ST ST,"",DULUTH,MN,558052107,HOSPITAL REHABILITATION UNIT,1883-04-06,MN,CORPORATION,"",N,"",0,0,0,0,0,0,0,0,0,0,1,0,0,""
